,Index,negative sign,Forecast : 0,Forecast : 1,Date,Close,Open,High,Low
0,0,1,0,0,2003.03.27,328.45,330.35,334.62,328.1
1,1,0,0,0,2003.03.28,332.45,329.6,332.9,328.9
2,2,0,1,1,2003.03.31,336.55,332.61,337.0,332.2
3,3,1,1,1,2003.04.01,334.95,337.11,339.15,333.28
4,4,1,1,1,2003.04.02,329.95,335.5,335.8,327.38
5,5,1,1,1,2003.04.03,325.32,329.5,329.8,323.13
6,6,1,0,0,2003.04.04,325.38,325.41,325.95,321.88
7,7,0,0,0,2003.04.07,322.8,321.72,323.38,318.88
8,8,0,0,0,2003.04.08,323.05,322.72,324.63,319.07
9,9,0,1,1,2003.04.09,326.82,323.01,327.6,320.88
10,10,1,0,0,2003.04.10,326.5,326.85,327.7,323.86
11,11,0,1,1,2003.04.11,328.05,326.12,329.55,322.88
12,12,1,0,0,2003.04.14,324.85,326.13,327.7,323.7
13,13,0,0,0,2003.04.15,324.95,324.63,326.62,321.88
14,14,0,0,0,2003.04.16,326.45,324.72,327.13,322.38
15,15,0,1,1,2003.04.17,327.13,326.82,328.5,325.5
16,16,1,0,0,2003.04.18,327.0,327.22,327.7,325.3
17,17,0,1,1,2003.04.21,333.55,327.13,334.3,326.3
18,18,1,1,1,2003.04.22,333.11,333.65,336.66,331.7
19,19,1,0,0,2003.04.23,331.25,333.15,336.09,330.8
20,20,0,1,1,2003.04.24,334.45,331.22,335.5,330.87
21,21,1,0,0,2003.04.25,333.25,334.3,334.97,332.09
22,22,0,0,0,2003.04.28,334.05,333.34,335.6,328.43
23,23,0,0,0,2003.04.29,333.45,328.7,334.8,327.13
24,24,0,0,0,2003.04.30,338.55,329.1,340.35,328.85
25,25,0,1,1,2003.05.01,341.75,339.45,343.75,337.7
26,26,1,0,0,2003.05.02,340.95,342.15,344.0,338.7
27,27,0,0,0,2003.05.05,342.25,341.72,343.7,340.47
28,28,0,1,1,2003.05.06,344.55,342.35,345.45,340.97
29,29,1,0,0,2003.05.07,342.05,344.34,345.05,339.15
30,30,0,1,1,2003.05.08,348.6,341.95,349.95,340.5
31,31,1,0,0,2003.05.09,348.55,348.65,349.62,346.2
32,32,0,1,1,2003.05.12,351.25,348.8,352.85,348.47
33,33,1,0,0,2003.05.13,349.71,351.5,352.25,348.55
34,34,0,1,1,2003.05.14,352.45,350.0,355.85,348.05
35,35,1,0,0,2003.05.15,352.0,352.5,356.3,350.7
36,36,0,0,0,2003.05.16,354.75,351.65,357.5,351.07
37,37,0,0,0,2003.05.19,366.0,357.0,366.0,356.4
38,38,0,0,0,2003.05.20,367.95,366.34,370.6,363.8
39,39,0,1,1,2003.05.21,372.34,368.05,373.65,363.36
40,40,1,0,0,2003.05.22,368.34,371.84,373.3,366.4
41,41,0,0,0,2003.05.23,368.75,368.25,371.3,365.0
42,42,0,1,1,2003.05.26,370.9,368.0,371.36,367.3
43,43,1,1,1,2003.05.27,365.11,370.61,375.02,364.5
44,44,1,0,0,2003.05.28,364.52,364.95,367.3,358.3
45,45,0,1,1,2003.05.29,369.25,366.11,370.35,359.4
46,46,1,0,0,2003.05.30,364.85,368.61,369.45,360.4
47,47,0,1,1,2003.06.02,365.95,363.25,367.7,359.36
48,48,1,1,1,2003.06.03,365.25,365.85,367.65,363.25
49,49,1,0,0,2003.06.04,362.75,365.52,366.37,360.59
50,50,0,1,1,2003.06.05,368.3,361.82,370.3,360.7
51,51,1,1,1,2003.06.06,363.85,368.22,369.1,361.4
52,52,1,1,1,2003.06.09,361.32,362.75,367.45,360.8
53,53,1,0,0,2003.06.10,352.34,362.05,362.3,351.15
54,54,0,1,1,2003.06.11,354.72,353.11,357.7,351.0
55,55,1,0,0,2003.06.12,353.4,355.0,356.27,350.7
